location,activity_type,cost,date,duration_hours
Mombasa,Cultural Tour,2080.91,7/13/2022,17
Mombasa,Beach,2157.47,8/19/2022,14
Kisumu,Beach,3075.28,9/29/2022,12
Nairobi,Safari,420.03,6/6/2022,21
Mombasa,Safari,2848.24,12/28/2022,2
Mombasa,Hiking,68.81,7/14/2022,6
Mombasa,Wildlife Viewing,4507.93,6/20/2022,5
Eldoret,Hiking,2889.38,7/15/2022,22
Kisumu,Cultural Tour,4757.12,5/13/2022,6
Eldoret,Beach,2717.53,11/11/2022,9
Nakuru,Safari,2698.96,3/2/2022,11
Nakuru,Beach,1810.43,11/19/2022,2
Eldoret,Safari,3339.15,3/25/2022,1
Eldoret,Hiking,4493.84,9/29/2022,12
Eldoret,Wildlife Viewing,3982.08,9/27/2022,16
Eldoret,Wildlife Viewing,3789.29,5/8/2022,1
Eldoret,Beach,4217.88,6/23/2022,24
Nairobi,Wildlife Viewing,1312.67,2/17/2022,4
Eldoret,Wildlife Viewing,3044.35,7/28/2022,21
Mombasa,Wildlife Viewing,356.6,1/15/2022,7
Nairobi,Beach,293.3,8/5/2022,12
Nakuru,Hiking,2526.09,1/5/2022,2
Nairobi,Cultural Tour,1242.45,3/17/2022,5
Kisumu,Cultural Tour,3107.33,8/19/2022,23
Mombasa,Hiking,1971.11,3/2/2022,6
Nakuru,Beach,425.29,10/19/2022,15
Mombasa,Hiking,3999.61,4/8/2022,5
Nakuru,Safari,4839.11,9/24/2022,23
Mombasa,Safari,2470.65,4/30/2022,1
Nairobi,Wildlife Viewing,2546.42,1/4/2022,17
Nakuru,Hiking,4310.11,7/1/2022,3
Kisumu,Hiking,2901.19,9/5/2022,16
Eldoret,Safari,4118.44,5/26/2022,21
Nairobi,Beach,617.87,5/19/2022,8
Nakuru,Hiking,2925.29,5/14/2022,16
Eldoret,Safari,1168.31,5/30/2022,11
Nairobi,Wildlife Viewing,1657.5,5/1/2022,4
Nakuru,Wildlife Viewing,2173.58,4/22/2022,19
Nairobi,Cultural Tour,91.1,9/17/2022,12
Nairobi,Cultural Tour,1962.14,3/19/2022,19
Kisumu,Cultural Tour,1234.15,10/11/2022,18
Nakuru,Beach,4464.29,11/22/2022,24
Eldoret,Hiking,2719.85,12/9/2022,11
Mombasa,Wildlife Viewing,1923.74,1/27/2022,3
Mombasa,Safari,2955.32,3/28/2022,22
Kisumu,Beach,4554.45,9/29/2022,4
Mombasa,Beach,4139.56,8/8/2022,14
Mombasa,Cultural Tour,4533.76,3/23/2022,1
Nakuru,Wildlife Viewing,3110.03,12/9/2022,1
Nakuru,Safari,2949.05,5/29/2022,20
Nakuru,Safari,3485.69,3/5/2022,1
Eldoret,Beach,4032.81,4/3/2022,9
Nakuru,Beach,4411.58,2/13/2022,24
Nairobi,Hiking,3329.36,10/31/2022,19
Kisumu,Cultural Tour,4065.44,7/30/2022,13
Kisumu,Safari,1753.19,11/7/2022,4
Eldoret,Hiking,4149.72,9/25/2022,22
Nairobi,Cultural Tour,230.43,11/29/2022,4
Nakuru,Beach,3381.88,10/6/2022,10
Nakuru,Wildlife Viewing,950.37,11/16/2022,22
Kisumu,Safari,1534.19,6/7/2022,12
Nakuru,Hiking,317.71,9/24/2022,11
Eldoret,Wildlife Viewing,314.62,4/28/2022,20
Nairobi,Beach,1816.76,5/27/2022,5
Kisumu,Cultural Tour,1011.73,4/27/2022,17
Nakuru,Safari,4370.81,11/17/2022,21
Nakuru,Hiking,3510.26,6/10/2022,2
Nakuru,Hiking,3871.35,3/31/2022,21
Eldoret,Wildlife Viewing,3538.15,5/21/2022,7
Kisumu,Safari,4240.33,3/11/2022,21
Nakuru,Beach,351.73,9/13/2022,17
Mombasa,Beach,471.62,8/3/2022,11
Kisumu,Hiking,178.91,10/28/2022,13
Eldoret,Beach,4934.01,9/2/2022,4
Mombasa,Beach,2113.16,10/11/2022,6
Eldoret,Hiking,1736.41,3/23/2022,23
Kisumu,Cultural Tour,365.68,8/13/2022,23
Kisumu,Hiking,2484.96,6/3/2022,15
Eldoret,Beach,813.27,10/21/2022,17
Mombasa,Safari,4828.77,4/18/2022,20
Nakuru,Wildlife Viewing,2736.29,7/18/2022,19
Eldoret,Safari,3388.56,3/30/2022,20
Kisumu,Wildlife Viewing,871.83,9/10/2022,16
Nakuru,Hiking,220.02,9/17/2022,2
Kisumu,Wildlife Viewing,808.07,12/28/2022,16
Nairobi,Safari,1163.93,10/27/2022,3
Nairobi,Cultural Tour,390.51,7/16/2022,15
Nakuru,Wildlife Viewing,4129.95,11/7/2022,11
Kisumu,Hiking,3889.01,2/8/2022,23
Mombasa,Hiking,2926.95,10/18/2022,12
Eldoret,Cultural Tour,3139.91,4/15/2022,8
Nakuru,Hiking,4706.21,1/8/2022,15
Kisumu,Hiking,3386.27,9/20/2022,7
Kisumu,Wildlife Viewing,4525.62,7/13/2022,17
Nakuru,Hiking,3417.12,2/24/2022,2
Mombasa,Hiking,3182.65,1/15/2022,3
Kisumu,Cultural Tour,4511.47,7/11/2022,21
Nakuru,Beach,1715.97,8/21/2022,9
Mombasa,Safari,985.37,1/8/2022,14
Mombasa,Hiking,1703.27,3/16/2022,8
Eldoret,Wildlife Viewing,2763.75,2/11/2022,19
Mombasa,Wildlife Viewing,798.12,1/16/2022,15
Eldoret,Beach,1693.75,6/12/2022,10
Mombasa,Cultural Tour,392.71,6/29/2022,21
Eldoret,Safari,3946.22,9/3/2022,2
Nairobi,Beach,4247.62,8/5/2022,17
Nairobi,Hiking,2538.64,4/14/2022,8
Kisumu,Hiking,836.06,4/30/2022,22
Kisumu,Hiking,3104.41,7/19/2022,20
Eldoret,Cultural Tour,4056.74,2/18/2022,15
Nairobi,Wildlife Viewing,4193.31,1/2/2022,10
Nairobi,Safari,1587.01,6/9/2022,15
Kisumu,Beach,951.46,7/24/2022,9
Eldoret,Cultural Tour,347.9,3/29/2022,14
Eldoret,Cultural Tour,954.44,5/20/2022,1
Nairobi,Safari,4029.42,7/25/2022,16
Nakuru,Safari,3533.43,10/17/2022,21
Mombasa,Wildlife Viewing,4774.36,1/17/2022,11
Kisumu,Wildlife Viewing,370.7,1/16/2022,1
Mombasa,Safari,1162.2,10/11/2022,16
Nakuru,Safari,2370.95,5/9/2022,5
Nairobi,Cultural Tour,4780.44,6/24/2022,19
Mombasa,Hiking,1479.17,10/2/2022,17
Eldoret,Hiking,743.08,6/30/2022,14
Nakuru,Cultural Tour,667.5,2/28/2022,10
Kisumu,Cultural Tour,4379.87,1/5/2022,3
Eldoret,Wildlife Viewing,1264.49,2/28/2022,14
Eldoret,Safari,913.7,8/18/2022,1
Mombasa,Cultural Tour,4059.12,8/16/2022,6
Nakuru,Safari,1097.91,7/6/2022,20
Nakuru,Safari,1343.22,10/10/2022,5
Eldoret,Safari,2623.51,3/14/2022,13
Nairobi,Hiking,2712.1,11/17/2022,3
Eldoret,Beach,1068.53,1/13/2022,7
Eldoret,Beach,1885.08,1/26/2022,9
Nakuru,Beach,2775.3,1/25/2022,10
Kisumu,Beach,3237.89,9/15/2022,16
Kisumu,Beach,1247.16,12/17/2022,23
Nairobi,Beach,1956.23,8/29/2022,4
Nairobi,Hiking,1884.62,2/18/2022,9
Nairobi,Cultural Tour,1861.75,5/21/2022,7
Mombasa,Hiking,3962.98,8/13/2022,14
Eldoret,Safari,1208.01,6/30/2022,4
Nakuru,Safari,4814.06,6/21/2022,18
Nairobi,Cultural Tour,3245.55,10/15/2022,14
Nakuru,Hiking,4782.09,10/5/2022,12
Mombasa,Cultural Tour,3382.77,6/25/2022,11
Eldoret,Beach,399.11,7/22/2022,6
Mombasa,Wildlife Viewing,4819.84,7/29/2022,11
Kisumu,Wildlife Viewing,4800.21,10/26/2022,11
Mombasa,Safari,1257.86,1/29/2022,24
Nakuru,Cultural Tour,2926.82,1/8/2022,11
Nakuru,Hiking,4888.26,8/6/2022,21
Nakuru,Beach,4714.22,3/31/2022,18
Nakuru,Safari,4194.2,1/3/2022,24
Kisumu,Hiking,3821.01,11/15/2022,21
Nakuru,Cultural Tour,192.57,7/27/2022,4
Nakuru,Safari,3813.49,6/24/2022,10
Eldoret,Cultural Tour,3189.67,1/28/2022,15
Nakuru,Hiking,3957.97,12/7/2022,7
Nairobi,Beach,1430.62,12/1/2022,18
Nairobi,Cultural Tour,3716.76,3/10/2022,3
Kisumu,Beach,1811.01,3/10/2022,10
Nakuru,Beach,3658.57,4/23/2022,19
Nakuru,Safari,3667.55,11/17/2022,19
Kisumu,Cultural Tour,1307.89,4/13/2022,5
Kisumu,Cultural Tour,3306.95,11/16/2022,6
Eldoret,Beach,1339.99,4/10/2022,1
Kisumu,Cultural Tour,629.74,10/4/2022,9
Kisumu,Cultural Tour,4879.45,11/21/2022,24
Kisumu,Beach,3736.02,4/25/2022,23
Nairobi,Hiking,811.27,1/17/2022,2
Kisumu,Wildlife Viewing,2288.03,7/6/2022,24
Eldoret,Beach,3918.46,6/9/2022,12
Nairobi,Beach,3168.19,11/6/2022,14
Nakuru,Wildlife Viewing,3735.73,6/17/2022,5
Mombasa,Beach,1944.19,7/27/2022,4
Mombasa,Wildlife Viewing,2549.87,9/18/2022,23
Mombasa,Safari,1188.06,2/2/2022,10
Eldoret,Beach,4444.52,8/7/2022,24
Mombasa,Hiking,991.57,12/24/2022,8
Kisumu,Wildlife Viewing,613.23,2/4/2022,16
Nakuru,Safari,2855.22,5/20/2022,1
Mombasa,Cultural Tour,3112.58,7/4/2022,15
Eldoret,Beach,2198.17,2/28/2022,22
Mombasa,Hiking,726.58,7/16/2022,10
Eldoret,Beach,2651.58,11/17/2022,6
Mombasa,Beach,151.47,11/17/2022,14
Eldoret,Hiking,1343.43,12/21/2022,22
Mombasa,Wildlife Viewing,63.52,10/8/2022,13
Nairobi,Hiking,677.02,12/13/2022,5
Eldoret,Cultural Tour,3606.47,2/2/2022,19
Kisumu,Cultural Tour,3730.72,8/2/2022,3
Kisumu,Beach,2253.69,5/16/2022,7
Mombasa,Safari,3001.28,3/31/2022,5
Mombasa,Safari,3555.66,8/31/2022,10
Nairobi,Safari,683.84,6/1/2022,8
Kisumu,Cultural Tour,4824.7,1/30/2022,12
Kisumu,Beach,2512.05,10/11/2022,12
Nairobi,Wildlife Viewing,2729.15,5/28/2022,20
Eldoret,Hiking,2499.48,9/14/2022,2
Mombasa,Hiking,1290.31,10/4/2022,23
Nairobi,Beach,4400.09,8/24/2022,19
Nairobi,Wildlife Viewing,840.14,10/31/2022,7
Mombasa,Wildlife Viewing,3870.21,1/30/2022,15
Nairobi,Hiking,1372.13,1/5/2022,2
Nakuru,Beach,3896.05,1/3/2022,2
Mombasa,Cultural Tour,616.87,9/30/2022,14
Eldoret,Wildlife Viewing,731.09,12/15/2022,22
Kisumu,Beach,4363.85,4/22/2022,10
Nakuru,Beach,1867.45,10/17/2022,17
Mombasa,Wildlife Viewing,4990.87,2/5/2022,19
Mombasa,Cultural Tour,4983.8,3/20/2022,23
Nakuru,Hiking,4436.52,10/8/2022,11
Nakuru,Hiking,4068.84,12/25/2022,18
Eldoret,Cultural Tour,344.14,1/14/2022,15
Kisumu,Hiking,1752.09,7/25/2022,3
Kisumu,Cultural Tour,4513.86,8/20/2022,17
Nairobi,Hiking,2548.73,12/12/2022,17
Kisumu,Cultural Tour,4952.85,5/30/2022,5
Nairobi,Wildlife Viewing,974.55,11/14/2022,15
Nakuru,Hiking,2675.25,5/17/2022,14
Mombasa,Hiking,3000.01,2/3/2022,10
Mombasa,Beach,820.55,12/24/2022,11
Mombasa,Cultural Tour,430.94,4/7/2022,6
Mombasa,Safari,2163.27,12/19/2022,19
Nakuru,Hiking,4737.96,10/12/2022,10
Nairobi,Safari,4106.4,11/1/2022,16
Mombasa,Safari,3777.78,3/30/2022,1
Kisumu,Safari,1335.16,1/7/2022,16
Kisumu,Safari,2129.65,10/13/2022,1
Eldoret,Safari,89.95,3/1/2022,20
Eldoret,Wildlife Viewing,4090.73,7/16/2022,5
Kisumu,Wildlife Viewing,358.47,11/15/2022,2
Eldoret,Cultural Tour,735.85,5/14/2022,5
Eldoret,Cultural Tour,2291.53,2/27/2022,20
Nakuru,Cultural Tour,3990.8,12/1/2022,14
Nairobi,Hiking,2979.69,2/10/2022,24
Mombasa,Cultural Tour,4673.47,8/8/2022,14
Nairobi,Safari,1205.51,12/24/2022,13
Eldoret,Wildlife Viewing,4944.78,1/6/2022,5
Kisumu,Wildlife Viewing,2365.75,8/27/2022,23
Kisumu,Wildlife Viewing,4507.49,12/14/2022,5
Eldoret,Safari,2086.7,2/18/2022,6
Nairobi,Wildlife Viewing,2755.22,7/7/2022,2
Nakuru,Beach,4863.88,2/9/2022,24
Nakuru,Safari,4990.06,5/3/2022,6
Kisumu,Wildlife Viewing,2242.65,1/7/2022,4
Mombasa,Safari,1968.18,1/10/2022,13
Mombasa,Safari,4449.99,3/23/2022,15
Nakuru,Hiking,1034.75,11/16/2022,18
Nairobi,Safari,4240.0,7/3/2022,5
Nakuru,Cultural Tour,1174.22,7/3/2022,5
Nakuru,Wildlife Viewing,2118.73,2/14/2022,7
Kisumu,Wildlife Viewing,2806.57,12/12/2022,21
Mombasa,Beach,698.46,7/22/2022,11
Nairobi,Safari,3034.22,8/22/2022,6
Nairobi,Safari,4158.52,3/19/2022,18
Mombasa,Cultural Tour,932.72,7/1/2022,3
Mombasa,Cultural Tour,478.36,5/11/2022,20
Mombasa,Beach,4034.03,2/2/2022,6
Mombasa,Hiking,1670.1,6/4/2022,21
Eldoret,Wildlife Viewing,663.7,7/21/2022,11
Eldoret,Wildlife Viewing,193.82,6/16/2022,9
Mombasa,Hiking,4589.81,1/30/2022,22
Nairobi,Wildlife Viewing,2751.67,4/20/2022,12
Nakuru,Cultural Tour,4234.87,6/21/2022,7
Nakuru,Hiking,324.44,1/29/2022,12
Mombasa,Cultural Tour,891.08,2/23/2022,17
Mombasa,Safari,4998.56,2/21/2022,15
Mombasa,Beach,2324.38,6/16/2022,12
Kisumu,Cultural Tour,1111.52,7/23/2022,24
Nairobi,Safari,2193.98,2/14/2022,3
Nakuru,Wildlife Viewing,1673.52,8/27/2022,2
Nairobi,Wildlife Viewing,546.77,8/20/2022,24
Nakuru,Wildlife Viewing,3468.12,3/26/2022,21
Nakuru,Safari,617.61,4/14/2022,18
Nairobi,Safari,4781.63,5/2/2022,1
Nairobi,Cultural Tour,4392.33,5/20/2022,1
Nakuru,Beach,3985.4,4/1/2022,22
Nakuru,Hiking,802.33,3/22/2022,3
Nairobi,Hiking,1646.29,11/23/2022,10
Kisumu,Safari,4470.05,3/21/2022,18
Nakuru,Beach,466.36,3/9/2022,2
Mombasa,Cultural Tour,835.32,4/7/2022,17
Mombasa,Safari,1755.63,5/29/2022,18
Nakuru,Beach,4043.64,9/1/2022,13
Kisumu,Cultural Tour,4986.66,6/1/2022,18
Nakuru,Hiking,2931.76,12/16/2022,10
Nakuru,Cultural Tour,4333.94,7/11/2022,24
Eldoret,Beach,116.73,1/23/2022,3
Nairobi,Safari,2550.59,5/6/2022,7
Kisumu,Cultural Tour,751.98,3/4/2022,19
Nairobi,Cultural Tour,1734.32,1/31/2022,23
Kisumu,Wildlife Viewing,3876.09,10/10/2022,24
Nairobi,Safari,863.73,5/31/2022,6
Kisumu,Cultural Tour,2680.72,1/4/2022,18
Mombasa,Beach,1580.07,4/20/2022,6
Mombasa,Beach,3384.68,4/25/2022,20
Nairobi,Beach,1756.68,8/17/2022,17
Nairobi,Safari,3531.93,4/25/2022,12
Eldoret,Cultural Tour,2195.36,2/19/2022,17
Mombasa,Beach,4541.34,3/5/2022,6
Eldoret,Cultural Tour,3239.71,10/28/2022,1
Kisumu,Beach,3991.0,2/21/2022,11
Kisumu,Cultural Tour,3516.26,9/26/2022,6
Eldoret,Wildlife Viewing,2365.12,6/10/2022,5
Kisumu,Cultural Tour,4558.34,1/12/2022,11
Nairobi,Cultural Tour,4536.87,11/26/2022,23
Mombasa,Wildlife Viewing,2443.25,7/23/2022,23
Nakuru,Cultural Tour,2985.4,1/18/2022,4
Mombasa,Cultural Tour,2485.91,2/22/2022,4
Mombasa,Beach,3175.28,1/7/2022,15
Nakuru,Wildlife Viewing,2219.11,11/26/2022,24
Nakuru,Beach,4256.25,1/22/2022,24
Mombasa,Beach,4543.9,7/3/2022,17
Eldoret,Wildlife Viewing,2774.7,3/15/2022,13
Mombasa,Cultural Tour,927.16,2/22/2022,13
Kisumu,Cultural Tour,1038.86,6/3/2022,14
Kisumu,Hiking,971.21,3/24/2022,23
Mombasa,Hiking,4968.59,2/3/2022,3
Nakuru,Hiking,2945.2,8/6/2022,23
Nakuru,Wildlife Viewing,1176.56,10/3/2022,1
Kisumu,Hiking,249.48,8/29/2022,22
Nakuru,Hiking,4523.21,12/21/2022,12
Nairobi,Wildlife Viewing,2073.07,11/21/2022,3
Eldoret,Cultural Tour,349.77,1/28/2022,16
Eldoret,Cultural Tour,1617.36,6/30/2022,6
Kisumu,Wildlife Viewing,157.75,2/8/2022,23
Nakuru,Cultural Tour,534.93,12/23/2022,17
Nakuru,Beach,1757.59,7/4/2022,5
Mombasa,Beach,3778.66,4/10/2022,24
Nakuru,Wildlife Viewing,3144.78,1/19/2022,4
Nakuru,Cultural Tour,4773.3,1/25/2022,5
Eldoret,Safari,2348.55,1/26/2022,4
Nakuru,Wildlife Viewing,2509.02,12/5/2022,4
Eldoret,Hiking,4629.17,10/17/2022,3
Eldoret,Wildlife Viewing,1423.26,11/24/2022,17
Nairobi,Hiking,2199.34,10/25/2022,20
Nairobi,Safari,4904.61,8/18/2022,17
Nairobi,Beach,899.42,3/6/2022,4
Mombasa,Cultural Tour,2911.6,1/29/2022,21
Nakuru,Safari,209.32,8/8/2022,6
Kisumu,Beach,1395.4,3/7/2022,17
Kisumu,Hiking,3161.05,2/7/2022,15
Eldoret,Safari,1452.75,7/25/2022,1
Nakuru,Hiking,4319.08,9/9/2022,6
Nairobi,Cultural Tour,4612.3,9/4/2022,19
Kisumu,Hiking,3325.41,6/25/2022,20
Nairobi,Hiking,3367.27,2/9/2022,14
Nakuru,Wildlife Viewing,2078.63,6/23/2022,10
Eldoret,Beach,3067.62,6/15/2022,20
Eldoret,Safari,1768.02,1/3/2022,5
Mombasa,Hiking,848.46,12/29/2022,8
Nairobi,Beach,1384.32,10/8/2022,21
Kisumu,Hiking,3623.43,1/7/2022,20
Nakuru,Hiking,2002.71,7/9/2022,11
Eldoret,Beach,75.81,11/22/2022,6
Eldoret,Cultural Tour,1468.33,7/5/2022,14
Kisumu,Cultural Tour,3918.0,10/13/2022,1
Nakuru,Safari,4115.77,4/24/2022,3
Nakuru,Wildlife Viewing,3220.27,1/1/2022,15
Nakuru,Hiking,4213.74,7/8/2022,20
Nakuru,Hiking,4996.95,11/7/2022,23
Kisumu,Cultural Tour,1049.99,6/17/2022,13
Mombasa,Beach,2993.91,2/27/2022,8
Mombasa,Cultural Tour,1707.12,11/15/2022,8
Eldoret,Wildlife Viewing,4679.43,7/5/2022,7
Kisumu,Wildlife Viewing,4804.62,10/30/2022,17
Kisumu,Hiking,298.23,5/14/2022,1
Mombasa,Cultural Tour,3142.41,4/18/2022,11
Eldoret,Cultural Tour,3633.14,1/26/2022,23
Nakuru,Beach,3999.36,8/18/2022,7
Nakuru,Beach,390.66,3/16/2022,14
Kisumu,Cultural Tour,4754.46,10/23/2022,2
Mombasa,Cultural Tour,4071.4,1/9/2022,23
Kisumu,Beach,3148.29,6/1/2022,8
Mombasa,Safari,2476.45,10/14/2022,8
Nairobi,Safari,3076.12,5/7/2022,8
Mombasa,Hiking,149.82,3/19/2022,19
Nairobi,Safari,2760.7,9/22/2022,21
Mombasa,Safari,3109.36,2/25/2022,17
Nairobi,Cultural Tour,2820.07,4/12/2022,11
Mombasa,Beach,1048.9,9/8/2022,3
Eldoret,Hiking,3028.5,1/12/2022,6
Eldoret,Beach,3849.01,7/14/2022,9
Kisumu,Hiking,3320.76,9/7/2022,21
Eldoret,Wildlife Viewing,3165.95,1/1/2022,15
Mombasa,Cultural Tour,4383.71,7/19/2022,14
Nairobi,Cultural Tour,3751.32,8/23/2022,9
Nairobi,Cultural Tour,768.13,5/12/2022,7
Eldoret,Safari,908.38,1/26/2022,24
Kisumu,Wildlife Viewing,2734.15,1/1/2022,11
Nakuru,Safari,861.23,5/30/2022,8
Kisumu,Safari,227.33,8/19/2022,15
Nairobi,Hiking,3645.37,2/26/2022,11
Mombasa,Hiking,4451.4,3/8/2022,20
Nairobi,Safari,3305.91,9/29/2022,14
Nairobi,Beach,3233.58,8/13/2022,8
Nakuru,Hiking,4813.02,6/3/2022,5
Nairobi,Wildlife Viewing,2320.26,4/24/2022,23
Nairobi,Wildlife Viewing,1286.45,12/11/2022,20
Kisumu,Cultural Tour,2998.79,3/12/2022,12
Eldoret,Safari,2936.08,4/21/2022,5
Eldoret,Cultural Tour,3511.1,12/25/2022,21
Eldoret,Cultural Tour,1247.25,10/17/2022,20
Mombasa,Cultural Tour,1777.19,12/13/2022,9
Nairobi,Beach,1765.09,6/3/2022,14
Eldoret,Safari,2084.56,9/12/2022,8
Nairobi,Cultural Tour,705.89,5/16/2022,23
Nairobi,Cultural Tour,2854.72,4/29/2022,17
Nakuru,Hiking,2644.08,8/26/2022,20
Eldoret,Cultural Tour,2861.87,6/9/2022,7
Eldoret,Safari,882.08,12/7/2022,19
Nakuru,Safari,1688.55,3/20/2022,20
Kisumu,Hiking,891.01,1/21/2022,18
Kisumu,Safari,898.26,4/14/2022,5
Nakuru,Safari,4862.38,7/18/2022,7
Kisumu,Wildlife Viewing,1741.61,10/4/2022,7
Eldoret,Cultural Tour,3614.62,11/26/2022,8
Eldoret,Beach,863.99,10/30/2022,7
Eldoret,Safari,1026.65,4/26/2022,9
Nakuru,Cultural Tour,2043.45,2/16/2022,15
Nakuru,Beach,4020.48,5/24/2022,3
Nairobi,Beach,3240.89,8/20/2022,14
Kisumu,Beach,465.88,3/27/2022,2
Nairobi,Hiking,179.6,10/12/2022,8
Nairobi,Beach,1082.44,7/24/2022,14
Nakuru,Hiking,2920.32,5/24/2022,6
Kisumu,Safari,4195.54,5/10/2022,7
Eldoret,Wildlife Viewing,4925.46,9/26/2022,2
Eldoret,Hiking,4273.94,12/26/2022,1
Kisumu,Cultural Tour,2960.75,4/12/2022,21
Eldoret,Cultural Tour,947.0,5/5/2022,8
Nairobi,Cultural Tour,3317.26,2/5/2022,22
Nairobi,Wildlife Viewing,3639.82,11/13/2022,22
Eldoret,Wildlife Viewing,3193.03,3/28/2022,16
Mombasa,Beach,2447.8,3/27/2022,19
Eldoret,Cultural Tour,70.33,12/30/2022,17
Mombasa,Cultural Tour,4440.49,2/15/2022,18
Mombasa,Hiking,4724.24,10/23/2022,8
Nakuru,Wildlife Viewing,2002.23,3/13/2022,22
Kisumu,Hiking,1245.83,10/29/2022,1
Nakuru,Cultural Tour,416.88,9/5/2022,1
Kisumu,Wildlife Viewing,130.42,11/20/2022,17
Eldoret,Wildlife Viewing,1350.46,10/17/2022,22
Eldoret,Safari,4847.95,11/25/2022,3
Nakuru,Wildlife Viewing,3909.84,11/29/2022,3
Nairobi,Wildlife Viewing,2232.82,9/14/2022,1
Nakuru,Beach,2596.12,8/30/2022,4
Eldoret,Wildlife Viewing,4258.04,3/13/2022,13
Eldoret,Cultural Tour,3264.64,4/18/2022,12
Mombasa,Cultural Tour,3713.19,10/29/2022,6
Nakuru,Wildlife Viewing,2077.97,3/14/2022,23
Nairobi,Beach,2351.89,5/21/2022,12
Eldoret,Wildlife Viewing,4426.1,8/16/2022,15
Nakuru,Beach,4644.89,8/21/2022,11
Eldoret,Wildlife Viewing,84.37,7/5/2022,9
Eldoret,Wildlife Viewing,2596.48,8/17/2022,19
Eldoret,Beach,4528.36,2/25/2022,1
Nakuru,Wildlife Viewing,4915.68,2/19/2022,9
Nakuru,Beach,4290.83,4/14/2022,4
Nairobi,Hiking,3793.71,8/9/2022,3
Eldoret,Wildlife Viewing,3736.0,5/19/2022,1
Eldoret,Safari,323.71,1/17/2022,8
